"Code","CD","dX_range","dY_range","NND","SDNND","TA","NRb","CRb","TAb","CDb","MNNDb","SDNNDb","NRcp","CRcp","TAcp","CDcp","MNNDcp","SDNNDcp","SEA","SEAc","Pond","TaxaUsed"
"1016.Agile frog","0.11632167","0.44181346","0.22258824","0.03780232","0.02096366","0.05716140","0.186413776671788","0.38220157671268","0.041290519181013","0.113487668745847","0.0597032409006809","0.0351132165332217","0.186413776671788","0.38220157671268","0.041290519181013","0.113487668745847","0.0597032409006809","0.0351132165332217",0.0230174147052115,0.0242961599666122,"1016","Agile frog"
"1016.Crayfish","0.22886326","0.77048183","0.69117647","0.06861701","0.04123235","0.28878304","0.441953607125419","0.627662237161383","0.158318865589789","0.215404084085724","0.116288609937872","0.0680171537935362","0.441953607125419","0.627662237161383","0.158318865589789","0.215404084085724","0.116288609937872","0.0680171537935362",0.086020607508156,0.0889868353532648,"1016","Crayfish"
"111.Agile frog","0.12098338","0.28434857","0.43000000","0.02842265","0.01528558","0.03529113","0.36338684456681","0.238638893924961","0.0497879461323488","0.122114000137318","0.0616515925624704","0.0454840746440131","0.36338684456681","0.238638893924961","0.0497879461323488","0.122114000137318","0.0616515925624704","0.0454840746440131",0.0133181341607963,0.0140580305030628,"111","Agile frog"
"111.Crayfish","0.35796962","0.77491767","1.52352941","0.04914651","0.05894053","0.30103908","1.07693916450469","0.608527131200803","0.394264810490363","0.359873699891641","0.15928638476902","0.147903524358528","1.07693916450469","0.608527131200803","0.394264810490363","0.359873699891641","0.15928638476902","0.147903524358528",0.0831767672916364,0.085623142800214,"111","Crayfish"
"111.Palmate newt","0.16792905","0.18988829","0.60205882","0.04089444","0.02009626","0.07734537","0.550388894771829","0.158208410447157","0.052067435733277","0.16140255633083","0.0657359185031758","0.0411757608478624","0.550388894771829","0.158208410447157","0.052067435733277","0.16140255633083","0.0657359185031758","0.0411757608478624",0.0297086163516021,0.0313590950378022,"111","Palmate newt"
"112.Agile frog","0.14053838","0.56857790","0.31870588","0.06213980","0.03949981","0.11058787","0.266635263526353","0.447962405262686","0.0683138117063927","0.136669166801288","0.0794825930190658","0.049571553628391","0.266635263526353","0.447962405262686","0.0683138117063927","0.136669166801288","0.0794825930190658","0.049571553628391",0.0372802709691941,0.0393513971341493,"112","Agile frog"
"112.Crayfish","0.21619689","0.70494585","0.54411765","0.06665001","0.03441960","0.24310899","0.40319767270845","0.578299138443263","0.14026898998375","0.202240073834229","0.11015622438597","0.0593912512066377","0.40319767270845","0.578299138443263","0.14026898998375","0.202240073834229","0.11015622438597","0.0593912512066377",0.0794743083960579,0.0823126765530599,"112","Crayfish"
"112.Palmate newt","0.09285423","0.26492124","0.22773529","0.05419799","0.04236901","0.03254716",NA,NA,NA,NA,NA,NA,"0.22773529","0.26492124","0.03254716","0.09285423","0.05419799","0.04236901",0.0192621304587245,0.0220138633813994,"112","Palmate newt"
"17_2017.Agile frog","0.30705935","1.01389673","0.64247059","0.10217571","0.06770999","0.39318297","0.569824688351192","0.908274013161705","0.307448916956038","0.294187320789456","0.159112646497871","0.101974149241834","0.569824688351192","0.908274013161705","0.307448916956038","0.294187320789456","0.159112646497871","0.101974149241834",0.153273212891749,0.161788391385735,"17_2017","Agile frog"
"17_2017.Marbled newt","0.21164766","0.48215006","0.80205882","0.08518434","0.05299249","0.25259485","0.690790849673206","0.380714529702266","0.148752467536577","0.209211232311762","0.112024823797572","0.0678834037316839","0.690790849673206","0.380714529702266","0.148752467536577","0.209211232311762","0.112024823797572","0.0678834037316839",0.0832860338503118,0.0881852123120948,"17_2017","Marbled newt"
"17_2017.Palmate newt","0.20686599","0.50953639","0.72770588","0.07509433","0.04900847","0.20933033","0.597381667578524","0.417460653660593","0.144478142445761","0.202702485178865","0.113671908513385","0.0663201012700954","0.597381667578524","0.417460653660593","0.144478142445761","0.202702485178865","0.113671908513385","0.0663201012700954",0.0722636459899339,0.0762782929893746,"17_2017","Palmate newt"
"17_2017.Tree frog","0.14675834","0.75947646","0.21411765","0.06498990","0.05119644","0.09244901","0.180721130936618","0.575046661296107","0.0562348710612857","0.143396011786579","0.0782067457417351","0.059529023511425","0.180721130936618","0.575046661296107","0.0562348710612857","0.143396011786579","0.0782067457417351","0.059529023511425",0.0315212794972927,0.0333754724088981,"17_2017","Tree frog"
"22.Marbled newt","0.24311028","0.65875611","0.74264706","0.09786192","0.06903921","0.32516447","0.628928698752229","0.567068747380797","0.206554800378679","0.23540335644677","0.134562094081541","0.0799540341500481","0.628928698752229","0.567068747380797","0.206554800378679","0.23540335644677","0.134562094081541","0.0799540341500481",0.117085595489294,0.123972983459253,"22","Marbled newt"
"22.Palmate newt","0.21300744","0.52767659","0.75911765","0.11749996","0.07857274","0.24260543","0.6639273397928","0.499157530296938","0.178786733512427","0.20752927319012","0.128191923148132","0.0982810371336132","0.6639273397928","0.499157530296938","0.178786733512427","0.20752927319012","0.128191923148132","0.0982810371336132",0.0983556424287044,0.107297064467678,"22","Palmate newt"
"22.Tree frog","0.3218717","1.8399862","0.2385882","0.1050292","0.2007902","0.2528211","0.216166040133427","1.31970759983717","0.162528502915575","0.313621310205783","0.143705907410771","0.171427739614143","0.216166040133427","1.31970759983717","0.162528502915575","0.313621310205783","0.143705907410771","0.171427739614143",0.092449293274641,0.0975853651232321,"22","Tree frog"
